window_size,video_id,video_name,identity,accuracy,precision_not_behavior,precision_behavior,recall_not_behavior,recall_behavior,f1_not_behavior,f1_behavior
15,56,org-3-uploads-stage.study_508.cage_5524.2025-10-15.22.36.mp4,0,0.777778,0.822581,0.717391,0.796875,0.75,0.809524,0.733333
15,57,org-3-uploads-stage.study_410.cage_4482.2025-08-05.11.18.mp4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,58,org-9-uploads-stage.study_1175.cage_5999.2025-06-29.05.08.mp4,1,0.908333,1.0,0.73494,0.877095,1.0,0.934524,0.847222
15,59,org-3-uploads-stage.study_460.cage_4986.2025-09-04.04.04.mp4,1,0.835616,0.962963,0.473684,0.83871,0.818182,0.896552,0.6
15,60,org-3-prod.study_428.cage_4522.2025-07-15.00.22.mp4,2,0.6875,1.0,0.583333,0.444444,1.0,0.615385,0.736842
20,0,org-3-uploads-stage.study_447.cage_4840.2025-08-27.04.25.mp4,0,0.980263,1.0,0.911765,0.975207,1.0,0.987448,0.953846
20,1,org-3-uploads-stage.study_410.cage_4484.2025-07-30.14.19.mp4,2,0.86747,0.946903,0.698113,0.869919,0.860465,0.90678,0.770833
20,2,org-3-uploads-stage.study_460.cage_4984.2025-09-03.05.37.mp4,0,0.915888,0.7,1.0,1.0,0.895349,0.823529,0.944785
20,3,org-3-uploads-stage.study_410.cage_4482.2025-07-14.13.38.mp4,0,0.95092,1.0,0.555556,0.947712,1.0,0.973154,0.714286
20,4,org-3-uploads-stage.study_410.cage_4482.2025-07-14.13.38.mp4,1,0.934307,0.918919,1.0,1.0,0.742857,0.957746,0.852459
20,5,org-3-prod.study_443.cage_4823.2025-08-11.23.07.mp4,1,0.96,1.0,0.9,0.9375,1.0,0.967742,0.947368
20,6,org-3-uploads-stage.study_439.cage_4751.2025-08-03.10.37.mp4,2,0.842857,0.886275,0.4,0.937759,0.25641,0.91129,0.3125
20,7,org-3-uploads-stage.study_410.cage_4484.2025-07-14.16.12.mp4,2,0.761589,0.744681,0.789474,0.853659,0.652174,0.795455,0.714286
20,8,org-3-uploads-stage.study_450.cage_4907.2025-08-20.00.11.mp4,0,0.77907,1.0,0.707692,0.525,1.0,0.688525,0.828829
20,9,org-3-uploads-stage.study_431.cage_4555.2025-07-19.04.49.mp4,0,0.954315,0.945783,1.0,1.0,0.775,0.972136,0.873239
20,10,org-9-uploads-stage.study_1175.cage_5999.2025-06-29.05.08.mp4,2,0.929775,0.976898,0.660377,0.942675,0.833333,0.959481,0.736842
20,11,org-3-uploads-stage.study_410.cage_4479.2025-07-11.21.08.mp4,1,0.974522,1.0,0.887324,0.968127,1.0,0.983806,0.940299
20,12,org-3-prod.study_428.cage_4522.2025-07-15.00.22.mp4,0,0.98913,1.0,0.956522,0.985714,1.0,0.992806,0.977778
20,13,org-3-uploads-stage.study_460.cage_4986.2025-09-03.08.11.mp4,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,14,org-3-uploads-stage.study_447.cage_4840.2025-08-22.01.45.mp4,0,0.787234,0.759036,1.0,1.0,0.354839,0.863014,0.52381
20,15,org-3-uploads-stage.study_427.cage_4488.2025-07-17.00.18.mp4,1,0.830671,0.918033,0.521739,0.871595,0.642857,0.894212,0.576
20,16,org-3-uploads-stage.study_460.cage_4979.2025-09-04.05.45.mp4,1,0.926829,0.875,1.0,1.0,0.85,0.933333,0.918919
20,17,org-3-uploads-stage.study_470.cage_5049.2025-09-09.00.30.mp4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,18,org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4,1,0.851648,0.795082,0.966667,0.979798,0.698795,0.877828,0.811189
20,19,org-3-uploads-stage.study_447.cage_4840.2025-08-23.14.43.mp4,2,0.988372,0.973684,1.0,1.0,0.979592,0.986667,0.989691
20,20,org-3-uploads-stage.study_507.cage_5505.2025-10-16.16.07.mp4,1,0.890052,0.873494,1.0,1.0,0.543478,0.932476,0.704225
20,21,org-3-uploads-stage.study_427.cage_4488.2025-07-17.00.18.mp4,0,0.894737,1.0,0.677419,0.864865,1.0,0.927536,0.807692
20,22,org-3-uploads-stage.study_426.cage_4476.2025-07-26.23.44.mp4,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,23,org-3-uploads-stage.study_507.cage_5502.2025-10-15.22.32.mp4,0,0.919255,0.929688,0.878788,0.96748,0.763158,0.948207,0.816901
20,24,org-3-prod.study_428.cage_4522.2025-07-15.00.22.mp4,2,0.8125,1.0,0.7,0.666667,1.0,0.8,0.823529
20,25,org-3-prod.study_443.cage_4823.2025-08-11.23.11.mp4,2,0.891089,1.0,0.65625,0.8625,1.0,0.926174,0.792453
20,26,org-3-uploads-stage.study_410.cage_4486.2025-07-12.00.06.mp4,1,0.798913,0.805369,0.771429,0.9375,0.482143,0.866426,0.593407
20,27,org-3-uploads-stage.study_410.cage_4482.2025-07-30.05.49.mp4,2,0.983333,1.0,0.952381,0.975,1.0,0.987342,0.97561
20,28,org-3-uploads-stage.study_447.cage_4840.2025-08-16.23.16.mp4,0,0.828383,0.835878,0.780488,0.960526,0.426667,0.893878,0.551724
20,29,org-3-uploads-stage.study_410.cage_4480.2025-08-02.03.41.mp4,0,0.961644,0.982332,0.890244,0.968641,0.935897,0.975439,0.9125
20,30,org-3-uploads-stage.study_431.cage_4558.2025-08-04.08.38.mp4,2,0.825641,0.860465,0.798165,0.770833,0.878788,0.813187,0.836538
20,31,org-3-uploads-stage.study_410.cage_4480.2025-08-02.03.41.mp4,1,0.89375,0.896104,0.833333,0.992806,0.238095,0.94198,0.37037
20,32,org-3-uploads-stage.study_470.cage_5026.2025-09-05.02.07.mp4,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,33,org-3-uploads-stage.study_448.cage_4868.2025-10-10.03.46.mp4,1,0.892857,1.0,0.775,0.830189,1.0,0.907216,0.873239
20,34,org-3-uploads-stage.study_410.cage_4483.2025-07-16.13.28.mp4,1,0.886364,0.907407,0.791667,0.951456,0.655172,0.92891,0.716981
20,35,org-3-uploads-stage.study_448.cage_4864.2025-09-06.00.48.mp4,0,0.918919,1.0,0.863636,0.833333,1.0,0.909091,0.926829
20,36,org-3-uploads-stage.study_470.cage_5049.2025-09-09.00.30.mp4,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,37,org-9-uploads-stage.study_1175.cage_5999.2025-06-29.05.08.mp4,0,0.963816,0.995781,0.850746,0.95935,0.982759,0.977226,0.912
20,38,org-3-uploads-stage.study_508.cage_5524.2025-10-15.22.36.mp4,0,0.916667,1.0,0.830189,0.859375,1.0,0.92437,0.907216
20,39,org-3-uploads-stage.study_410.cage_4481.2025-08-01.22.32.mp4,1,0.977273,0.969925,1.0,1.0,0.914894,0.984733,0.955556
20,40,org-3-uploads-stage.study_447.cage_4838.2025-08-15.05.30.mp4,1,0.818713,0.71028,1.0,1.0,0.673684,0.830601,0.805031
20,41,org-9-uploads-stage.study_1174.cage_5991.2025-06-15.16.00.mp4,1,0.544118,0.678571,0.509259,0.263889,0.859375,0.38,0.639535
20,42,org-3-uploads-stage.study_431.cage_4555.2025-07-19.04.49.mp4,2,0.947619,0.964912,0.871795,0.970588,0.85,0.967742,0.860759
20,43,org-3-uploads-stage.study_410.cage_4482.2025-07-16.07.13.mp4,1,0.902778,0.87931,1.0,1.0,0.666667,0.93578,0.8
20,44,org-3-uploads-stage.study_431.cage_4558.2025-08-04.08.38.mp4,0,0.981308,0.97619,1.0,1.0,0.92,0.987952,0.958333
20,45,org-3-uploads-stage.study_428.cage_4507.2025-07-13.05.44.mp4,2,0.73913,0.808824,0.638298,0.763889,0.697674,0.785714,0.666667
20,46,org-3-uploads-stage.study_410.cage_4480.2025-08-04.09.17.mp4,2,0.737892,0.867647,0.557823,0.731405,0.752294,0.793722,0.640625
20,47,org-3-uploads-stage.study_410.cage_4482.2025-08-05.11.18.mp4,2,0.98913,0.983333,1.0,1.0,0.969697,0.991597,0.984615
20,48,org-9-uploads-stage.study_1013.cage_4995.2025-03-17.02.55.mp4,2,0.943478,0.936275,1.0,1.0,0.666667,0.967089,0.8
20,49,org-3-prod.study_443.cage_4823.2025-08-11.23.10.mp4,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,50,org-3-prod.study_428.cage_4522.2025-07-15.00.22.mp4,1,0.703488,0.741071,0.633333,0.790476,0.567164,0.764977,0.598425
20,51,org-9-uploads-stage.study_1175.cage_5999.2025-06-29.05.08.mp4,1,0.916667,1.0,0.753086,0.888268,1.0,0.940828,0.859155
20,52,org-3-uploads-stage.study_447.cage_4840.2025-08-20.12.10.mp4,0,0.873874,0.745455,1.0,1.0,0.8,0.854167,0.888889
20,53,org-3-uploads-stage.study_426.cage_4471.2025-07-10.01.56.mp4,0,0.900826,0.893805,1.0,1.0,0.4,0.943925,0.571429
20,54,org-3-uploads-stage.study_476.cage_5056.2025-09-24.22.45.mp4,1,0.977324,1.0,0.9,0.97151,1.0,0.985549,0.947368
20,55,org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4,0,0.920455,0.945455,0.905455,0.857143,0.965116,0.899135,0.934334
20,56,org-9-uploads-stage.study_1013.cage_4995.2025-03-17.02.55.mp4,0,0.870968,0.974359,0.695652,0.844444,0.941176,0.904762,0.8
20,57,org-3-uploads-stage.study_460.cage_4977.2025-09-03.09.07.mp4,0,0.989011,0.981982,1.0,1.0,0.972603,0.990909,0.986111
20,58,org-3-uploads-stage.study_460.cage_4986.2025-09-04.04.04.mp4,1,0.856164,0.940171,0.517241,0.887097,0.681818,0.912863,0.588235
20,59,org-3-uploads-stage.study_448.cage_4864.2025-09-06.00.48.mp4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,60,org-3-uploads-stage.study_410.cage_4479.2025-07-30.11.10.mp4,2,0.96679,0.959821,1.0,1.0,0.839286,0.979499,0.912621
